applicant_id,group,age,income,history_years,dti,missed_24m,postcode_band,default_24m
214,A,41,55800.0,12.2,0.108,2,1,0
215,A,45,55200.0,6.7,0.377,0,1,0
216,A,49,66300.0,9.9,0.331,2,2,0
217,A,24,46200.0,6.3,0.125,0,2,0
218,B,31,16900.0,1.7,0.371,0,5,0
219,A,25,49600.0,6.7,0.267,2,3,0
220,B,21,47400.0,3.0,0.288,0,3,0
221,A,33,29100.0,15.1,0.175,0,3,0
222,A,47,59700.0,10.9,0.518,0,2,0
223,B,43,17300.0,6.8,0.323,1,3,0
224,A,37,48600.0,15.8,0.089,1,2,0
225,A,62,67600.0,4.0,0.369,0,1,1
226,A,65,44400.0,5.6,0.412,2,2,0
227,A,22,28000.0,5.1,0.108,1,1,0
228,B,68,28200.0,5.0,0.432,1,3,0
229,B,36,19200.0,6.5,0.205,0,1,0
230,A,47,24900.0,6.8,0.486,0,1,0
231,A,59,35700.0,3.7,0.398,0,2,0
232,A,36,47400.0,8.3,0.106,1,3,0
233,A,31,23500.0,9.5,0.32,1,3,0
234,B,35,47700.0,6.7,0.182,0,2,0
235,A,36,49700.0,3.2,0.243,0,4,0
236,A,46,13800.0,4.5,0.45,0,3,1
237,B,34,28900.0,11.3,0.102,0,5,0
238,A,48,44100.0,11.9,0.595,1,1,0
239,B,47,32100.0,3.1,0.386,1,1,1
240,A,42,81000.0,7.6,0.02,0,4,0
241,B,46,27400.0,4.4,0.432,0,5,1
242,A,53,26600.0,13.1,0.382,1,1,0
243,B,27,12900.0,5.6,0.121,1,3,0
244,A,30,50000.0,6.1,0.455,0,5,0
245,A,59,18700.0,5.6,0.224,0,5,0
246,A,31,29700.0,9.8,0.252,0,1,0
247,A,53,48000.0,6.1,0.091,0,2,0
248,B,26,48800.0,8.4,0.365,1,5,0
249,B,66,99200.0,6.5,0.295,0,1,0
250,A,49,35600.0,5.5,0.277,1,3,0
251,B,56,22900.0,1.5,0.057,0,5,1
252,A,41,56300.0,11.5,0.125,0,5,0
253,A,22,16600.0,7.5,0.371,0,1,0
254,B,38,51200.0,4.5,0.348,0,5,0
255,A,40,29700.0,8.0,0.466,0,3,0
256,B,37,19400.0,3.9,0.42,0,4,0
257,A,39,28700.0,3.4,0.257,0,5,0
258,B,51,35500.0,4.9,0.273,0,2,0
259,B,32,35600.0,4.2,0.499,2,4,0
260,A,35,85000.0,7.7,0.29,0,2,0
261,A,37,24300.0,16.0,0.421,0,1,0
262,A,33,50100.0,12.4,0.436,0,2,0
263,A,51,61400.0,13.0,0.478,1,3,0
264,B,30,33500.0,5.8,0.372,1,1,0
265,B,45,30300.0,6.2,0.136,2,5,0
266,A,55,35900.0,21.8,0.431,0,1,0
267,A,52,35700.0,8.7,0.17,0,2,0
268,B,50,22600.0,4.0,0.364,1,5,1
269,A,26,34900.0,4.5,0.327,0,2,1
270,A,51,99900.0,12.7,0.02,1,1,0
271,B,33,25000.0,3.4,0.562,0,4,0
272,A,47,58900.0,6.5,0.256,2,1,0
273,A,37,35600.0,6.3,0.436,0,3,0
274,A,41,41700.0,10.3,0.43,0,2,0
275,A,39,51100.0,2.9,0.499,0,1,0
276,A,34,52600.0,8.6,0.28,0,4,0
277,A,57,81400.0,3.0,0.194,1,5,0
278,A,57,34800.0,7.6,0.307,0,2,0
279,B,30,19400.0,2.3,0.481,2,5,1
280,B,44,21200.0,9.3,0.632,0,5,0
281,B,28,34900.0,6.6,0.173,0,2,0
282,A,47,22300.0,5.5,0.464,0,3,0
283,A,61,35300.0,7.4,0.055,1,5,0
284,B,42,31600.0,1.0,0.319,1,5,1
285,A,51,12600.0,10.0,0.219,1,5,1
286,B,48,30500.0,1.8,0.389,1,4,1
287,A,44,46900.0,4.6,0.129,1,4,0
288,A,61,25800.0,27.9,0.387,0,1,0
289,A,30,19200.0,3.9,0.238,0,1,0
290,A,39,25200.0,8.6,0.238,0,5,0
291,B,41,43000.0,3.4,0.184,1,4,0
292,A,50,41400.0,12.8,0.267,0,2,0
293,A,62,47300.0,19.5,0.104,0,5,0
294,B,42,22300.0,3.0,0.488,1,5,1
295,A,42,28000.0,13.9,0.099,0,1,0
296,A,48,39800.0,6.6,0.413,0,3,0
297,A,43,30600.0,10.5,0.294,1,3,0
298,A,27,44000.0,6.1,0.305,0,3,0
299,B,48,45600.0,5.9,0.365,0,4,0
300,A,21,12200.0,7.6,0.451,0,3,1
301,B,69,48000.0,7.2,0.519,0,2,0
302,A,28,29900.0,9.2,0.15,1,2,0
303,A,49,44900.0,13.6,0.395,0,1,0
304,A,21,38200.0,12.6,0.398,1,5,0
305,A,45,26300.0,7.6,0.519,0,1,1
306,A,51,22900.0,7.0,0.551,0,5,0
307,A,31,38500.0,11.8,0.438,2,1,0
308,A,44,60300.0,5.6,0.104,0,1,0
309,B,50,51400.0,4.0,0.461,0,3,0
310,B,41,20900.0,6.7,0.601,0,1,0
311,A,58,42100.0,7.5,0.383,1,1,0
312,A,25,44000.0,22.7,0.537,0,2,0
313,A,64,27000.0,12.2,0.489,2,2,0
314,A,40,33600.0,7.9,0.313,0,4,0
315,B,42,78000.0,6.6,0.391,3,5,0
316,A,53,18600.0,7.8,0.225,1,2,0
317,A,24,45500.0,3.4,0.305,0,1,0
318,B,32,49700.0,6.4,0.713,0,2,0
319,B,40,24400.0,7.9,0.56,1,4,1
320,A,29,80700.0,19.6,0.292,2,1,0
321,B,34,28100.0,12.8,0.322,0,4,0
322,B,36,25600.0,4.8,0.061,3,5,0
323,A,51,78000.0,8.8,0.279,0,3,0
324,A,40,47100.0,11.1,0.237,1,3,0
325,B,27,27400.0,12.4,0.343,0,4,0
326,B,49,25300.0,9.2,0.466,1,3,1
327,A,60,37000.0,7.1,0.338,1,5,0
328,A,21,70900.0,16.1,0.334,0,2,0
329,B,51,35000.0,3.0,0.335,0,1,0
330,A,60,24500.0,5.4,0.434,1,1,1
331,B,35,33700.0,1.9,0.184,1,5,1
332,B,50,30900.0,1.0,0.596,0,1,1
333,A,37,34400.0,11.9,0.323,0,4,0
334,A,44,17400.0,12.2,0.243,0,1,0
335,B,28,41100.0,1.3,0.174,0,5,0
336,A,21,36600.0,9.6,0.413,0,4,0
337,A,49,70800.0,10.1,0.25,3,1,0
338,A,30,39300.0,5.0,0.593,0,2,1
339,A,51,22300.0,9.7,0.261,1,4,0
340,A,46,34100.0,7.8,0.37,1,2,0
341,A,34,25400.0,9.2,0.47,0,3,0
342,A,46,55200.0,17.8,0.493,1,1,0
343,B,38,42400.0,7.9,0.065,0,3,0
344,A,51,17900.0,14.1,0.324,1,2,1
345,A,39,123000.0,7.8,0.316,2,3,0
346,A,52,59800.0,7.0,0.252,0,5,0
347,A,21,42000.0,10.6,0.414,0,2,0
348,B,42,21300.0,11.1,0.33,0,4,0
349,A,29,35700.0,5.7,0.32,0,4,0
350,B,60,35200.0,4.7,0.339,2,4,1
351,A,40,65100.0,10.2,0.373,1,1,0
352,A,25,42300.0,8.8,0.242,0,2,0
353,A,47,73300.0,5.2,0.247,0,1,1
354,A,36,55200.0,4.2,0.092,0,2,0
355,B,31,43200.0,7.3,0.592,0,1,0
356,A,35,41800.0,12.6,0.32,1,2,0
357,A,44,42700.0,10.7,0.237,1,3,0
358,A,47,25800.0,22.3,0.328,0,3,0
359,A,56,36000.0,9.9,0.251,2,3,0
360,A,39,29700.0,13.9,0.504,0,3,0
361,A,37,68300.0,4.3,0.261,2,5,0
362,A,21,38200.0,8.0,0.221,0,1,0
363,A,62,29500.0,8.3,0.118,0,3,0
364,A,31,46900.0,13.8,0.307,0,1,0
365,B,38,14300.0,6.4,0.395,0,5,0
366,A,58,28400.0,4.5,0.47,0,4,1
367,B,41,10200.0,6.7,0.176,1,5,0
368,A,41,66600.0,11.4,0.292,1,2,0
369,B,41,24500.0,8.0,0.361,0,3,0
370,A,46,26700.0,1.3,0.333,0,2,0
371,B,58,24800.0,4.6,0.068,2,3,0
372,B,44,26000.0,0.6,0.301,0,4,0
373,A,46,39300.0,3.8,0.468,0,3,0
374,A,43,50900.0,16.2,0.371,0,2,0
375,B,47,42600.0,1.8,0.442,0,1,1
376,B,41,13400.0,6.1,0.159,1,4,0
377,A,32,27800.0,7.7,0.456,0,4,0
378,A,40,36200.0,9.2,0.345,1,1,1
379,A,50,93100.0,1.0,0.124,2,2,0
380,A,50,29300.0,8.6,0.212,0,3,0
381,A,21,38300.0,3.7,0.527,0,2,1
382,A,52,48200.0,7.3,0.417,1,2,0
383,A,39,17600.0,8.3,0.561,0,2,0
384,A,46,34200.0,4.7,0.56,1,1,1
385,B,31,30300.0,4.5,0.213,1,4,0
386,A,39,53400.0,11.6,0.247,0,1,0
387,A,40,30300.0,7.8,0.165,0,4,0
388,A,32,21900.0,4.5,0.245,0,2,0
389,A,38,23300.0,8.1,0.052,2,1,0
390,A,50,57600.0,3.1,0.417,1,4,1
391,A,35,61700.0,15.2,0.585,1,3,0
392,A,44,24000.0,1.3,0.486,1,2,1
393,B,41,20800.0,6.7,0.378,0,4,0
394,A,27,30000.0,13.4,0.184,0,1,0
395,A,42,33000.0,12.5,0.05,0,3,0
396,A,26,43500.0,10.9,0.224,2,3,0
397,A,32,128800.0,11.0,0.471,0,4,0
398,A,42,17800.0,12.6,0.308,0,2,1
399,B,52,39300.0,10.6,0.447,0,4,0
400,A,58,40900.0,19.3,0.471,1,2,0
401,A,36,113500.0,14.9,0.362,0,3,0
402,A,37,39200.0,8.5,0.256,0,1,0
403,A,47,37800.0,5.9,0.142,0,4,1
404,A,37,33300.0,4.7,0.199,0,1,0
405,A,36,23700.0,16.0,0.478,1,3,0
406,A,45,18200.0,11.6,0.354,0,2,0
407,A,52,101500.0,7.3,0.324,0,2,0
408,B,39,34000.0,6.1,0.378,2,5,0
409,A,54,20400.0,17.4,0.246,0,1,0
410,A,39,24500.0,9.7,0.226,1,5,1
411,A,47,14300.0,2.7,0.058,0,3,0
412,B,48,13700.0,4.3,0.395,1,4,0
413,A,21,27200.0,9.4,0.13,0,2,0
414,A,45,36600.0,4.1,0.127,0,1,0
415,A,48,54500.0,13.5,0.131,0,4,0
416,B,47,42200.0,13.2,0.302,0,5,0
417,A,27,38300.0,8.5,0.361,1,5,0
418,A,38,46700.0,6.9,0.635,0,2,1
419,B,49,20600.0,3.7,0.413,0,4,0
420,B,27,54200.0,6.7,0.249,2,3,0
421,A,51,48700.0,5.0,0.606,0,1,1
422,A,57,29000.0,13.5,0.229,0,2,1
423,B,50,30200.0,3.1,0.235,2,5,0
424,A,27,66000.0,4.8,0.063,0,2,0
425,A,43,24400.0,5.9,0.481,0,3,1
426,A,31,20900.0,10.4,0.307,0,2,0
427,A,21,33300.0,7.5,0.123,1,3,0
428,A,51,44200.0,6.0,0.359,0,1,0
429,B,37,19500.0,11.1,0.28,1,4,0
430,A,30,36700.0,14.4,0.401,0,4,0
431,B,41,31100.0,12.8,0.47,1,4,0
432,A,59,48500.0,8.6,0.44,0,1,0
433,B,56,25500.0,1.7,0.35,0,3,1
434,A,25,33900.0,7.0,0.316,0,1,0
435,A,29,48600.0,11.1,0.439,1,2,0
436,A,49,34700.0,6.3,0.368,0,2,0
437,A,57,32700.0,5.0,0.348,1,3,1
438,B,38,17000.0,4.2,0.261,0,1,0
439,A,39,48900.0,6.8,0.267,0,2,0
440,A,55,27900.0,6.0,0.419,1,3,0
441,A,51,60200.0,17.1,0.19,0,3,0
442,A,36,43400.0,24.2,0.368,1,2,0
443,A,34,54600.0,14.3,0.334,1,4,0
444,A,39,36800.0,6.6,0.206,0,1,0
445,A,50,20800.0,4.7,0.382,0,1,1
446,A,55,25900.0,12.4,0.179,2,3,0
447,A,53,21800.0,14.7,0.486,2,3,0
448,B,75,21400.0,3.7,0.529,0,1,0
449,B,41,32100.0,2.5,0.382,0,1,0
450,A,40,40800.0,6.5,0.258,1,2,0
451,B,43,47900.0,4.3,0.382,0,4,0
452,A,46,28100.0,3.4,0.37,1,2,0
453,A,63,34100.0,12.0,0.183,0,2,0
454,A,36,23000.0,7.6,0.191,0,1,0
455,A,21,40600.0,10.9,0.366,0,3,0
456,B,39,27400.0,9.7,0.219,2,1,0
457,B,40,46300.0,1.3,0.362,0,5,0
458,A,42,40700.0,7.9,0.211,0,2,0
459,A,46,30300.0,5.3,0.34,0,3,0
460,A,39,40300.0,10.5,0.23,1,1,0
461,B,26,33800.0,10.8,0.284,1,3,0
462,A,41,67000.0,10.3,0.359,0,1,0
463,A,37,38000.0,5.1,0.281,1,2,0
464,B,34,22000.0,8.6,0.362,0,5,0
465,A,66,26400.0,5.6,0.235,0,1,0
466,A,68,15500.0,13.8,0.274,0,3,0
467,A,43,30300.0,12.1,0.349,0,1,0
468,B,58,13000.0,7.6,0.282,0,5,0
469,A,47,28200.0,9.8,0.336,1,1,0
470,A,47,47000.0,6.1,0.657,0,5,0
471,A,54,60600.0,8.1,0.103,0,3,0
472,A,41,37500.0,2.2,0.291,0,1,0
473,A,37,38000.0,2.4,0.493,0,2,0
474,A,44,21900.0,2.5,0.18,0,1,0
475,B,62,14700.0,0.5,0.571,0,1,1
476,B,42,24600.0,2.6,0.476,0,3,0
477,A,33,34800.0,10.4,0.435,1,2,0
478,A,62,45000.0,8.9,0.245,1,3,0
479,A,22,23400.0,12.5,0.175,3,4,0
480,A,43,46900.0,11.8,0.397,0,1,1
481,A,23,25700.0,6.2,0.54,0,2,0
482,A,31,28200.0,12.9,0.311,0,2,0
483,A,40,37300.0,16.3,0.404,0,2,0
484,A,44,50700.0,17.8,0.593,0,2,0
485,A,28,29600.0,6.5,0.207,3,2,1
486,A,24,76400.0,13.7,0.259,1,5,0
487,B,46,53100.0,4.1,0.337,0,3,0
488,B,47,29400.0,7.5,0.309,0,2,0
489,A,49,28400.0,3.3,0.448,0,2,1
490,B,38,43000.0,10.8,0.466,0,5,0
491,A,46,59200.0,8.7,0.262,0,1,0
492,B,51,28900.0,6.2,0.388,0,5,0
493,A,41,38600.0,9.8,0.335,1,1,1
494,A,38,77600.0,7.0,0.426,0,3,0
495,A,65,54600.0,8.7,0.26,0,1,0
496,A,42,91400.0,6.7,0.316,0,1,0
497,A,36,29300.0,12.6,0.394,2,2,0
498,A,42,22200.0,16.2,0.244,0,1,0
499,A,44,29000.0,16.6,0.217,2,3,0
500,A,34,46000.0,6.6,0.269,3,3,1
501,A,61,46700.0,9.0,0.432,0,1,0
502,B,30,30600.0,3.8,0.287,2,5,1
503,A,28,21800.0,4.3,0.244,0,4,0
504,A,22,36100.0,2.7,0.157,0,1,0
505,A,29,37800.0,15.5,0.278,0,2,0
506,A,21,56000.0,11.9,0.366,0,4,0
507,B,35,38600.0,8.0,0.257,1,2,0
508,A,47,26900.0,15.2,0.515,0,4,0
509,A,49,22800.0,7.2,0.307,0,3,0
510,B,37,37500.0,0.3,0.234,1,4,0
511,A,55,48600.0,13.0,0.06,0,2,0
512,B,30,18500.0,9.3,0.74,0,1,1
513,A,38,40600.0,11.5,0.02,0,3,0
514,A,37,37000.0,8.1,0.238,0,4,1
515,A,40,64700.0,7.2,0.46,0,3,0
516,B,75,58700.0,1.8,0.233,1,5,0
517,B,46,77900.0,1.8,0.552,0,4,0
518,A,53,46700.0,11.2,0.145,1,2,0
519,A,46,52000.0,11.3,0.452,1,1,0
520,A,25,56500.0,9.2,0.318,0,3,0
521,A,46,25100.0,9.5,0.346,0,5,0
522,A,50,41400.0,6.4,0.202,0,1,0
523,B,39,46700.0,1.1,0.374,1,3,0
524,B,32,48200.0,18.5,0.278,1,4,0
525,B,37,34700.0,3.9,0.269,1,3,0
526,A,55,39900.0,8.3,0.339,0,3,0
527,A,52,79100.0,6.4,0.2,1,3,0
528,A,24,58400.0,18.3,0.22,1,2,0
529,A,67,20800.0,2.1,0.063,0,3,0
530,A,61,65600.0,13.8,0.165,0,1,0
531,A,44,30000.0,13.4,0.063,2,2,0
532,B,62,22600.0,2.0,0.157,0,4,0
533,A,30,28200.0,6.8,0.039,0,4,0
534,A,21,60600.0,7.5,0.308,0,4,0
535,A,50,68700.0,3.8,0.397,0,4,0
536,A,53,40900.0,6.3,0.166,1,1,0
537,A,34,43500.0,13.4,0.271,0,4,0
538,A,39,26000.0,7.6,0.191,1,1,0
539,A,28,27000.0,2.8,0.298,1,5,1
540,B,52,47800.0,2.6,0.415,0,5,0
541,B,40,16900.0,2.7,0.292,0,3,0
542,A,57,44900.0,4.4,0.324,0,1,0
543,A,39,40500.0,5.7,0.416,0,2,0
544,A,27,28800.0,6.0,0.27,0,3,0
545,A,48,90600.0,7.0,0.373,0,1,0
546,A,21,25100.0,12.8,0.348,0,3,0
547,A,38,81500.0,4.2,0.412,0,5,0
548,A,37,41300.0,6.2,0.245,0,1,0
549,B,53,35800.0,9.0,0.346,1,4,0
550,B,45,22800.0,7.2,0.268,1,1,0
551,B,60,38000.0,2.3,0.533,1,3,0
552,A,23,99600.0,7.4,0.389,0,1,0
553,A,47,22900.0,4.3,0.179,0,2,0
554,B,53,42000.0,4.9,0.352,0,3,0
555,A,44,29900.0,6.8,0.319,1,3,0
556,A,27,65000.0,13.3,0.331,0,5,0
557,A,49,75000.0,8.2,0.418,1,4,0
